Payload_Avionics
ax,ay,az,gx,gy,gz,mpu_temp,bmp_temp,bmp_pres, bmp_alt
0.412,-0.048,11.133,-0.152,0.457,-0.091,24.577,22.500,100946.000,30.599
0.359,-0.048,11.100,0.000,0.335,-0.091,24.483,22.400,100954.000,30.933
0.345,-0.148,11.100,-0.030,0.274,-0.061,23.730,22.500,100946.000,31.184
0.354,-0.148,11.186,-7.805,0.244,7.774,24.530,22.500,100945.000,31.434
0.335,-0.048,11.262,-0.122,0.366,0.091,25.189,22.500,100949.000,31.351
0.350,-0.105,11.080,-0.183,0.488,-0.213,25.189,22.500,100951.000,30.599
0.373,-0.115,11.095,-0.213,0.396,-7.774,24.483,22.500,100963.000,30.933
0.354,-0.072,11.090,-0.152,0.305,-0.152,23.730,22.500,100943.000,31.351
0.311,-0.120,11.123,-0.244,0.335,7.713,24.436,22.500,100952.000,30.850
0.345,-0.096,11.214,-0.122,0.427,0.000,24.530,22.500,100958.000,30.850
0.393,-0.096,11.186,-0.213,0.366,7.774,24.483,22.500,100954.000,30.599
0.373,-0.086,11.200,-0.213,0.488,-0.030,23.777,22.500,100957.000,30.683
0.321,-0.096,11.243,-0.030,0.396,-0.183,24.530,22.500,100954.000,30.098
0.378,-0.072,11.133,-0.183,0.427,-0.152,24.530,22.500,100963.000,30.933
0.306,-0.139,11.167,-0.183,0.457,-0.122,24.483,22.500,100957.000,30.599
0.306,-0.072,11.128,-0.305,0.305,-0.030,23.730,22.500,100961.000,30.850
0.369,-0.139,11.147,-0.122,0.366,-7.805,24.577,22.500,100954.000,30.599
0.350,-0.110,11.066,-0.244,0.305,-0.030,24.530,22.500,100960.000,31.184
0.364,-0.096,11.100,-0.061,0.427,-0.091,24.483,22.500,100952.000,30.933
0.388,-0.115,11.200,-0.183,0.274,-0.183,25.189,22.500,100960.000,31.434
0.297,-0.105,11.143,-0.091,0.366,-0.030,25.189,22.500,100957.000,30.683
0.369,-0.134,11.195,-0.183,0.457,-0.213,24.577,22.500,100958.000,31.100
0.283,-0.034,11.090,-0.091,0.335,-0.122,24.577,22.500,100949.000,31.184
0.359,-0.081,11.147,-0.122,0.488,-0.213,25.189,22.500,100952.000,31.100
0.369,-0.144,11.167,-0.213,0.488,-0.152,24.530,22.500,100945.000,31.184
0.345,-0.110,11.104,-0.183,0.457,-7.805,23.777,22.500,100954.000,31.184
0.354,-0.096,11.133,-0.213,0.457,-0.152,24.483,22.500,100949.000,30.933
0.393,-0.101,11.104,-0.213,0.518,-0.061,24.483,22.500,100951.000,31.601
0.297,-0.148,11.090,-0.183,0.549,-0.183,24.483,22.500,100946.000,31.434
0.397,-0.115,11.095,-0.122,0.427,-0.213,24.483,22.500,100951.000,31.184
0.393,-0.153,11.128,0.000,0.366,0.000,24.577,22.500,100954.000,30.599
0.373,-0.124,11.114,-0.091,0.366,-0.244,24.483,22.500,100954.000,30.683
0.326,-0.062,11.066,-0.122,0.518,-7.744,24.577,22.500,100952.000,31.184
0.359,-0.096,11.190,-0.183,0.396,-0.152,24.483,22.500,100948.000,31.184
0.345,-0.101,11.104,-0.335,0.305,7.713,24.577,22.500,100949.000,30.766
0.340,-0.101,11.123,-0.152,0.427,-0.122,24.577,22.500,100951.000,31.601
0.335,-0.072,11.143,-0.213,0.305,-0.152,24.577,22.500,100952.000,31.100
0.426,-0.077,11.090,-0.183,0.427,0.061,24.530,22.500,100954.000,31.601
0.378,-0.062,11.171,-0.183,0.335,-0.305,24.530,22.500,100940.000,31.351
0.350,-0.124,11.042,-0.091,0.274,-0.122,24.530,22.500,100954.000,30.766
