Source: BeelineGPS
time, lat, lon, alt, callsign
2017-12-25 06:00:01,44.5727,-123.2773,5,Beeline1
2017-12-25 06:00:02,44.5739,-123.2798,79,Beeline1
2017-12-25 06:00:03,44.5786,-123.2893,154,Beeline1
2017-12-25 06:00:04,44.5796,-123.2914,229,Beeline1
2017-12-25 06:00:05,44.5814,-123.2951,304,Beeline1
2017-12-25 06:00:06,44.5843,-123.3008,378,Beeline1
2017-12-25 06:00:07,44.5884,-123.309,453,Beeline1
2017-12-25 06:00:08,44.594,-123.3101,527,Beeline1
2017-12-25 06:00:09,44.6012,-123.3115,601,Beeline1
2017-12-25 06:00:10,44.6103,-123.3133,675,Beeline1
2017-12-25 06:00:11,44.6114,-123.3156,750,Beeline1
2017-12-25 06:00:12,44.6128,-123.3183,823,Beeline1
2017-12-25 06:00:13,44.6144,-123.3215,897,Beeline1
2017-12-25 06:00:14,44.6163,-123.3253,971,Beeline1
2017-12-25 06:00:15,44.6185,-123.3297,1045,Beeline1
2017-12-25 06:00:16,44.621,-123.3347,1118,Beeline1
2017-12-25 06:00:17,44.6238,-123.3404,1192,Beeline1
2017-12-25 06:00:18,44.627,-123.3468,1265,Beeline1
2017-12-25 06:00:19,44.6306,-123.354,1338,Beeline1
2017-12-25 06:00:20,44.6346,-123.362,1411,Beeline1
2017-12-25 06:00:21,44.639,-123.3708,1485,Beeline1
2017-12-25 06:00:22,44.6438,-123.3805,1557,Beeline1
2017-12-25 06:00:23,44.6491,-123.3816,1630,Beeline1
2017-12-25 06:00:24,44.6549,-123.3828,1703,Beeline1
2017-12-25 06:00:25,44.6612,-123.3841,1776,Beeline1
2017-12-25 06:00:26,44.668,-123.3855,1848,Beeline1
2017-12-25 06:00:27,44.6754,-123.387,1921,Beeline1
2017-12-25 06:00:28,44.6833,-123.3886,1993,Beeline1
2017-12-25 06:00:29,44.6918,-123.3903,2065,Beeline1
2017-12-25 06:00:30,44.7009,-123.3921,2137,Beeline1
2017-12-25 06:00:31,44.7107,-123.3941,2210,Beeline1
2017-12-25 06:00:32,44.7117,-123.3962,2281,Beeline1
2017-12-25 06:00:33,44.7128,-123.3984,2353,Beeline1
2017-12-25 06:00:34,44.714,-123.4008,2425,Beeline1
2017-12-25 06:00:35,44.7152,-123.4033,2497,Beeline1
2017-12-25 06:00:36,44.7165,-123.4059,2568,Beeline1
2017-12-25 06:00:37,44.7179,-123.4087,2640,Beeline1
2017-12-25 06:00:38,44.7194,-123.4116,2711,Beeline1
2017-12-25 06:00:39,44.7209,-123.4147,2782,Beeline1
2017-12-25 06:00:40,44.7225,-123.418,2853,Beeline1
2017-12-25 06:00:41,44.7242,-123.4214,2925,Beeline1
2017-12-25 06:00:42,44.726,-123.425,2995,Beeline1
2017-12-25 06:00:43,44.7279,-123.4288,3066,Beeline1
2017-12-25 06:00:44,44.7299,-123.4327,3137,Beeline1
